eid,gameclock,gameclock_str,quarter,over,under,switch,trap
1,707,11:47,1,,,x,
4,663,11:03,1,,,,
8,600,10:00,1,,,,
10,576,9:36,1,,,x,
14,528,8:48,1,,,,x
15,508,8:28,1,,x,,
21,412,6:52,1,x,,,
22,404,6:44,1,,,x,
22,402,6:42,1,,,x,
23,396,6:36,1,x,,,
23,381,6:21,1,,,,x
25,366,6:06,1,,,x,
28,333,5:33,1,x,,,
33,271,4:31,1,x,,,
35,250,4:10,1,x,,,
35,245,4:05,1,,x,,
39,179,2:59,1,,,,
40,174,2:54,1,,,x,
49,72,1:12,1,x,,,
49,66,1:06,1,,x,,
50,45,0:45,1,,,,x
55,708,11:48,2,,,x,
57,694,11:34,2,,,,
58,676,11:16,2,x,,,
59,666,11:06,2,,,x,
62,627,10:27,2,x,,,
64,600,10:00,2,,,,x
66,579,9:39,2,,,,x
68,548,9:08,2,,,x,
69,531,8:51,2,,,x,
71,518,8:38,2,x,,,
71,517,8:37,2,,,x,
74,477,7:57,2,x,,,
76,450,7:30,2,x,,,
77,439,7:19,2,,,,x
81,384,6:24,2,,x,,
84,348,5:48,2,,,,x
85,338,5:38,2,,,x,
87,329,5:29,2,x,,,
87,325,5:25,2,,x,,
93,261,4:21,2,,,x,
95,240,4:00,2,,,x,
98,203,3:23,2,,,x,
98,201,3:21,2,x,,,
98,198,3:18,2,,,x,
100,171,2:51,2,,,,
102,163,2:43,2,,,x,
107,97,1:37,2,,,x,
112,48,0:48,2,,,,
112,42,0:42,2,,,x,
119,698,11:38,3,,,,
124,641,10:41,3,,x,,
129,566,9:26,3,,,,x
130,543,9:03,3,x,,,
131,539,8:59,3,,,,
132,504,8:24,3,,,x,
133,484,8:04,3,,,x,
136,437,7:17,3,x,,,
141,351,5:51,3,,,,x
142,339,5:39,3,x,,,
145,307,5:07,3,,,x,
149,271,4:31,3,,,,
155,220,3:40,3,,x,,
156,204,3:24,3,,,,x
160,164,2:44,3,,,x,
161,150,2:30,3,x,,,
161,148,2:28,3,x,,,
161,143,2:23,3,,,x,
163,102,1:42,3,x,,,
166,77,1:17,3,,,x,
167,63,1:03,3,,,,x
168,50,0:50,3,x,,,
171,31,0:31,3,x,,,
172,10,0:10,3,,,x,
175,712,11:52,4,x,,,
176,697,11:37,4,,,x,
177,678,11:18,4,,x,,
179,643,10:43,4,x,,,
180,627,10:27,4,,,,
182,600,10:00,4,x,,,
186,554,9:14,4,,x,,
187,529,8:49,4,x,,,
187,525,8:45,4,,,x,
194,432,7:12,4,,x,,
195,416,6:56,4,,,,x
195,411,6:51,4,,,,x
198,376,6:16,4,,x,,
204,299,4:59,4,,x,,
205,278,4:38,4,,,x,
206,261,4:21,4,,x,,
207,238,3:58,4,,x,,
209,202,3:22,4,,,,
214,149,2:29,4,,,x,
216,113,1:53,4,x,,,
217,91,1:31,4,,x,,
219,74,1:14,4,,,,
224,8,0:08,4,,,,
