eid,gameclock,gameclock_str,quarter,over,under,switch,trap
14,544,9:04,1,,,x,
16,519,8:39,1,x,,,
21,445,7:25,1,,,,
22,434,7:14,1,,,x,
23,412,6:52,1,,x,,
24,395,6:35,1,x,,,
28,338,5:38,1,,,x,
32,282,4:42,1,,,,
35,242,4:02,1,,x,,
36,228,3:48,1,,x,,
37,211,3:31,1,,x,,
43,115,1:55,1,,,,
45,98,1:38,1,,,,x
46,75,1:15,1,,x,,
50,36,0:36,1,,,,
53,18,0:18,1,,,x,
53,8,0:08,1,,,x,
54,715,11:55,1,x,,,
57,677,11:17,2,,,,
59,660,11:00,2,,,,x
59,654,10:54,2,x,,,
61,636,10:36,2,,,,
66,569,9:29,2,,,,x
70,521,8:41,2,,,,
73,482,8:02,2,,,x,
74,464,7:44,2,,,,x
77,431,7:11,2,x,,,
78,408,6:48,2,x,,,
82,357,5:57,2,,,x,
83,340,5:40,2,x,,,
83,335,5:35,2,,,x,
90,232,3:52,2,x,,,
94,194,3:14,2,,,x,
103,80,1:20,2,x,,,
106,59,0:59,2,,,x,
108,43,0:43,2,,,,
109,37,0:37,2,,,x,
115,696,11:36,3,x,,,
118,669,11:09,3,,,x,
119,631,10:31,3,,,x,
122,603,10:03,3,,,x,
122,580,9:40,3,,,,
125,541,9:01,3,x,,,
125,538,8:58,3,x,,,
128,613,10:13,3,,x,,
128,611,10:11,3,, ,,
128,603,10:03,3,,,x,
130,479,7:59,3,x,,,
130,475,7:55,3,,,x,
132,423,7:03,3,,x,,
136,374,6:14,3,,,,x
136,365,6:05,3,,,x,
138,710,11:50,3,,,,x
138,696,11:36,3,x,,,
138,669,11:09,3,,,x,
138,632,10:32,3,,,x,
138,613,10:13,3,,x,,
138,611,10:11,3,,x,,
138,603,10:03,3,,,x,
138,580,9:40,3,,x,,
138,541,9:01,3,,,,x
138,479,7:59,3,x,,,
138,475,7:55,3,x,,,
138,450,7:30,3,,,,x
138,422,7:02,3,x,,,
138,374,6:14,3,,,,x
138,364,6:04,3,,,,x
138,341,5:41,3,,,x,
146,240,4:00,3,,,x,
148,208,3:28,3,,x,,
148,202,3:22,3,,,,x
151,163,2:43,3,,,,
153,154,2:34,3,,,x,
156,115,1:55,3,,,,
159,81,1:21,3,,,x,
160,65,1:05,3,,,,x
161,53,0:53,3,,,,
163,38,0:38,3,,,x,
167,695,11:35,4,,,,x
167,690,11:30,4,,,,x
168,675,11:15,4,,,x,
169,660,11:00,4,,x,,
171,623,10:23,4,,,x,
175,551,9:11,4,,,,
176,515,8:35,4,,,,x
178,489,8:09,4,x,,,
180,464,7:44,4,,,,x
182,451,7:31,4,,,x,
184,420,7:00,4,,x,,
185,416,6:56,4,,,x,
188,380,6:20,4,,,,
191,315,5:15,4,,,x,
194,273,4:33,4,x,,,
195,251,4:11,4,x,,,
198,219,3:39,4,,,x,
200,210,3:30,4,,,,x
201,194,3:14,4,,,,
203,158,2:38,4,x,,,
207,88,1:28,4,x,,,
208,78,1:18,4,x,,,
209,60,1:00,4,x,,,
212,30,0:30,4,,,,x
213,23,0:23,4,,,x,
