eid,gameclock,gameclock_str,quarter,over,under,switch,trap
5,670,11:10,1,x,,,
7,648,10:48,1,,,,
8,638,10:38,1,,,,
13,591,9:51,1,,x,,
15,566,9:26,1,,,x,
18,532,8:52,1,,,,x
27,436,7:16,1,x,,,
30,396,6:36,1,x,,,
34,357,5:57,1,x,,,
39,304,5:04,1,x,,,
43,250,4:10,1,,x,,
45,226,3:46,1,,,x,
47,212,3:32,1,,x,,
53,147,2:27,1,,,,
56,119,1:59,1,,x,,
61,78,1:18,1,,,,
64,53,0:53,1,,,,
66,45,0:45,1,,x,,
67,36,0:36,1,x,,,
69,6,0:06,1,x,,,
73,716,11:56,2,x,,,
74,679,11:19,2,x,,,
77,631,10:31,2,x,,,
79,606,10:06,2,,,,
81,593,9:53,2,,,x,
82,562,9:22,2,x,,,
87,486,8:06,2,x,,,
99,420,7:00,2,x,,,
111,315,5:15,2,x,,,
112,304,5:04,2,,,,
114,293,4:53,2,,,,x
115,279,4:39,2,,,,x
115,269,4:29,2,,,x,
122,226,3:46,2,x,,,
126,205,3:25,2,,,,
132,156,2:36,2,,x,,
134,135,2:15,2,,,,
138,88,1:28,2,,,x,
142,51,0:51,2,,,x,
143,37,0:37,2,,,x,
144,33,0:33,2,,,,
148,709,11:49,3,,,x,
149,687,11:27,3,x,,,
150,677,11:17,3,,,,
154,624,10:24,3,x,,,
162,543,9:03,3,,,,
164,533,8:53,3,x,,,
172,479,7:59,3,x,,,
175,443,7:23,3,,,,
176,426,7:06,3,,,,
177,411,6:51,3,,x,,
180,392,6:32,3,x,,,
181,372,6:12,3,x,,,
184,345,5:45,3,,,,
185,332,5:32,3,,,,
186,326,5:26,3,x,,,
186,317,5:17,3,,x,,
190,283,4:43,3,,,,x
194,259,4:19,3,,,,
199,194,3:14,3,x,,,
204,128,2:08,3,x,,,
208,103,1:43,3,,,,
210,83,1:23,3,x,,,
214,36,0:36,3,,,,x
218,19,0:19,3,,x,,
222,712,11:52,4,,,x,
223,687,11:27,4,x,,,
224,682,11:22,4,,,,
225,662,11:02,4,x,,,
227,620,10:20,4,x,,,
228,606,10:06,4,,x,,
228,598,9:58,4,,,x,
231,573,9:33,4,,,x,
236,517,8:37,4,,,,
236,515,8:35,4,x,,,
238,482,8:02,4,,,,x
239,468,7:48,4,x,,,
240,449,7:29,4,,,x,
241,426,7:06,4,,,,x
241,423,7:03,4,,,,
243,399,6:39,4,x,,,
246,345,5:45,4,,,,
246,342,5:42,4,,,,
248,308,5:08,4,x,,,
249,305,5:05,4,,x,,
250,289,4:49,4,,,x,
258,206,3:26,4,,,x,
260,183,3:03,4,,,,
261,158,2:38,4,x,,,
262,142,2:22,4,,,,
267,122,2:02,4,x,,,
272,70,1:10,4,,,x,
275,36,0:36,4,,,x,
