eid,gameclock,gameclock_str,quarter,over,under,switch,trap
2,685,11:25,1,x,,,
2,678,11:18,1,,,,x
6,622,10:22,1,,,x,
14,525,8:45,1,,,,
15,509,8:29,1,,,,x
32,265,4:25,1,,x,,
42,167,2:47,1,,,,
42,160,2:40,1,,,x,
43,145,2:25,1,,,x,
45,111,1:51,1,,,x,
49,63,1:03,1,,,x,
51,31,0:31,1,,,,
62,653,10:53,2,,,,
62,645,10:45,2,,,,x
62,632,10:32,2,,x,,
69,565,9:25,2,,,,
74,498,8:18,2,,,,
75,478,7:58,2,,x,,
75,475,7:55,2,,x,,
76,472,7:52,2,,,,
79,440,7:20,2,,,x,
90,313,5:13,2,,,,
96,240,4:00,2,,x,,
102,137,2:17,2,,,,
106,81,1:21,2,,,,
113,13,0:13,2,,,,
116,706,11:46,3,x,,,
116,699,11:39,3,,,x,
118,675,11:15,3,x,,,
118,673,11:13,3,x,,,
119,660,11:00,3,,,,
121,630,10:30,3,,,,x
123,610,10:10,3,,,,x
127,566,9:26,3,,,,
128,558,9:18,3,,,,
128,548,9:08,3,x,,,
129,544,9:04,3,,,,
131,505,8:25,3,,,x,
134,477,7:57,3,,,,
136,426,7:06,3,,,,
137,365,6:05,3,,,,
139,380,6:20,3,,,,
140,383,6:23,3,,,,
142,324,5:24,3,,,,
143,296,4:56,3,,,,
143,294,4:54,3,,,,x
144,291,4:51,3,,,,x
146,266,4:26,3,,,,
147,243,4:03,3,,,x,
150,230,3:50,3,,,,
151,168,2:48,3,x,,,
158,105,1:45,3,,x,,
158,102,1:42,3,,,x,
159,91,1:31,3,,,,
160,80,1:20,3,,,x,
161,78,1:18,3,,,,
162,59,0:59,3,,,,
163,44,0:44,3,,,x,
163,36,0:36,3,,,x,
167,692,11:32,4,,x,,
168,690,11:30,4,,,,
168,678,11:18,4,,,,x
169,650,10:50,4,,,,
174,628,10:28,4,,,,
176,564,9:24,4,,,x,
178,555,9:15,4,,,,x
179,543,9:03,4,,,x,
179,531,8:51,4,,,,x
183,483,8:03,4,,,,x
187,420,7:00,4,,,,
187,408,6:48,4,,,,
189,389,6:29,4,x,,,
189,380,6:20,4,,,x,
191,355,5:55,4,,,x,
192,337,5:37,4,,x,,
193,324,5:24,4,,,,
194,303,5:03,4,,,x,
195,297,4:57,4,,,x,
198,267,4:27,4,,,x,
201,210,3:30,4,x,,,
202,188,3:08,4,x,,,
202,181,3:01,4,,,,
204,148,2:28,4,,,x,
207,117,1:57,4,,,,x
209,90,1:30,4,,,x,
209,71,1:11,4,,,,
212,49,0:49,4,,,x,
213,32,0:32,4,x,,,
218,11,0:11,4,,,,
