eid,gameclock,gameclock_str,quarter,over,under,switch,trap
3,663,11:03,1,,x,,
9,594,9:54,1,x,,,
11,565,9:25,1,,,,
12,549,9:09,1,,,,x
13,535,8:55,1,,,x,
21,431,7:11,1,,,,
23,409,6:49,1,,,,x
24,384,6:24,1,x,,,
25,372,6:12,1,x,,,
26,361,6:01,1,,,,
29,330,5:30,1,x,,,
29,326,5:26,1,x,,,
32,287,4:47,1,,x,,
34,274,4:34,1,,,,
34,264,4:24,1,,,x,
35,249,4:09,1,,x,,
35,243,4:03,1,,,x,
36,229,3:49,1,x,,,
37,214,3:34,1,,,,x
43,149,2:29,1,,,,
46,133,2:13,1,,x,,
46,129,2:09,1,,x,,
48,112,1:52,1,x,,,
50,99,1:39,1,,,x,
53,60,1:00,1,,,,
54,50,0:50,1,,x,,
54,47,0:47,1,x,,,
56,27,0:27,1,,x,,
57,7,0:07,1,,,,x
60,713,11:53,2,,x,,
61,698,11:38,2,,,,x
63,662,11:02,2,,x,,
66,639,10:39,2,x,,,
66,636,10:36,2,,,,x
67,609,10:09,2,,,x,
67,604,10:04,2,x,,,
68,592,9:52,2,,x,,
70,570,9:30,2,x,,,
71,552,9:12,2,x,,,
71,547,9:07,2,,,,x
72,537,8:57,2,,x,,
73,516,8:36,2,x,,,
79,448,7:28,2,x,,,
79,442,7:22,2,,,,x
81,420,7:00,2,,,,x
85,384,6:24,2,,,,x
87,371,6:11,2,x,,,
87,368,6:08,2,,x,,
94,304,5:04,2,x,,,
96,272,4:32,2,x,,,
101,210,3:30,2,x,,,
103,187,3:07,2,,,x,
107,125,2:05,2,,,x,
107,122,2:02,2,x,,,
108,99,1:39,2,x,,,
109,87,1:27,2,x,,,
112,59,0:59,2,,x,,
113,56,0:56,2,,,,
114,12,0:12,2,x,,,
117,709,11:49,3,,x,,
118,692,11:32,3,,x,,
118,688,11:28,3,,,,
119,663,11:03,3,x,,,
120,653,10:53,3,,,x,
120,643,10:43,3,,x,,
122,613,10:13,3,,,x,
126,592,9:52,3,,,,
128,566,9:26,3,,,,
128,557,9:17,3,,,x,
129,533,8:53,3,,,,
141,454,7:34,3,,,,
145,422,7:02,3,x,,,
146,407,6:47,3,,,,x
147,396,6:36,3,,,,x
148,375,6:15,3,,,x,
148,374,6:14,3,x,,,
149,360,6:00,3,,,x,
150,340,5:40,3,,,,x
150,334,5:34,3,,,x,
151,309,5:09,3,,,x,
154,286,4:46,3,x,,,
154,279,4:39,3,x,,,
159,218,3:38,3,,x,,
160,194,3:14,3,,,x,
161,169,2:49,3,x,,,
165,152,2:32,3,x,,,
165,151,2:31,3,x,,,
167,129,2:09,3,,x,,
167,123,2:03,3,,,,x
168,107,1:47,3,x,,,
174,43,0:43,3,,x,,
174,40,0:40,3,,,x,
177,18,0:18,3,x,,,
180,713,11:53,4,,,,x
184,688,11:28,4,x,,,
184,685,11:25,4,x,,,
187,650,10:50,4,,,x,
192,593,9:53,4,,x,,
193,576,9:36,4,,,,x
193,561,9:21,4,,,,
198,528,8:48,4,,,,
203,476,7:56,4,,,,x
207,416,6:56,4,,,,x
212,349,5:49,4,,,,x
215,310,5:10,4,,,,
218,292,4:52,4,,,,x
218,287,4:47,4,x,,,
219,272,4:32,4,,,x,
223,228,3:48,4,,,,
223,222,3:42,4,,x,,
225,203,3:23,4,,,x,
226,185,3:05,4,,,x,
228,173,2:53,4,,,,
229,153,2:33,4,,,,
231,144,2:24,4,x,,,
231,137,2:17,4,x,,,
232,115,1:55,4,,,,
233,93,1:33,4,,,,x
239,32,0:32,4,,,,
246,290,4:50,5,,,x,
248,247,4:07,5,,x,,
249,228,3:48,5,,,,x
250,213,3:33,5,x,,,
251,196,3:16,5,,,x,
252,180,3:00,5,,x,,
255,133,2:13,5,,x,,
261,81,1:21,5,x,,,
261,75,1:15,5,,,,x
263,64,1:04,5,x,,,
265,44,0:44,5,,,x,
