eid,gameclock,gameclock_str,quarter,over,under,switch,trap
2,670,11:10,1,,,x,
4,643,10:43,1,,,,x
15,508,8:28,1,x,,,
19,476,7:56,1,,,,x
22,439,7:19,1,,,x,
24,423,7:03,1,,,x,
29,392,6:32,1,,,,
30,379,6:19,1,,,,
33,360,6:00,1,,,,
39,259,4:19,1,x,,,
41,232,3:52,1,,x,,
41,227,3:47,1,,x,,
44,192,3:12,1,x,,,
44,161,2:41,1,x,,,
48,83,1:23,1,x,,,
56,33,0:33,1,,,x,
56,25,0:25,1,,,x,
61,640,10:40,2,,,x,
62,623,10:23,2,x,,,
62,621,10:21,2,x,,,
65,597,9:57,2,x,,,
66,588,9:48,2,,,,
67,583,9:43,2,,,,x
67,575,9:35,2,,,,
69,537,8:57,2,,,,
70,504,8:24,2,x,,,
70,492,8:12,2,,,x,
75,443,7:23,2,x,,,
81,370,6:10,2,,,,x
84,337,5:37,2,,,,
86,281,4:41,2,,,x,
92,237,3:57,2,,,,
92,216,3:36,2,,,,x
94,154,2:34,2,x,,,
96,118,1:58,2,,,x,
97,112,1:52,2,,,,
98,95,1:35,2,x,,,
99,81,1:21,2,,,,x
117,579,9:39,3,,,,
118,565,9:25,3,,,,
119,540,9:00,3,,,,
124,461,7:41,3,x,,,
134,363,6:03,3,,,,x
137,279,4:39,3,,,,x
138,261,4:21,3,,,,
138,249,4:09,3,,,,
140,250,4:10,3,,,,x
141,219,3:39,3,,,x,
141,216,3:36,3,,,,x
143,206,3:26,3,,,,
144,213,3:33,3,,,,
146,177,2:57,3,,,x,
148,126,2:06,3,,,,x
150,93,1:33,3,,,,
157,14,0:14,3,,,,
164,655,10:55,4,,,x,
165,630,10:30,4,x,,,
165,625,10:25,4,x,,,
173,460,7:40,4,,x,,
176,444,7:24,4,,,,x
177,396,6:36,4,x,,,
180,316,5:16,4,,,x,
182,280,4:40,4,x,,,
182,274,4:34,4,,x,,
184,237,3:57,4,x,,,
185,210,3:30,4,x,,,
186,194,3:14,4,,,x,
186,178,2:58,4,x,,,
187,158,2:38,4,,,x,
190,106,1:46,4,,,,x
191,93,1:33,4,x,,,
191,76,1:16,4,,x,,
