eid,gameclock,gameclock_str,quarter,over,under,switch,trap
4,642,10:42,1,,,,
10,580,9:40,1,,,x,
23,413,6:53,1,x,,,
30,292,4:52,1,,,x,
43,61,1:01,1,x,,,
63,471,7:51,2,x,,,
65,454,7:34,2,,,x,
71,395,6:35,2,x,,,
74,352,5:52,2,,x,,
81,296,4:56,2,x,,,
84,256,4:16,2,,,,
88,207,3:27,2,,,,
91,178,2:58,2,x,,,
94,132,2:12,2,,,x,
95,116,1:56,2,,,,x
101,47,0:47,2,,,,x
106,687,11:27,3,x,,,
107,679,11:19,3,,,,
110,644,10:44,3,x,,,
111,633,10:33,3,,,x,
113,600,10:00,3,x,,,
115,570,9:30,3,,,x,
118,542,9:02,3,,,x,
123,486,8:06,3,,,,x
124,475,7:55,3,,,,x
125,445,7:25,3,x,,,
128,420,7:00,3,,,x,
134,360,6:00,3,,,,
135,329,5:29,3,,,,x
137,295,4:55,3,x,,,
143,225,3:45,3,,,x,
145,211,3:31,3,,,,x
147,174,2:54,3,,,,
148,146,2:26,3,,,x,
150,79,1:19,3,x,,,
153,17,0:17,3,,,,
159,654,10:54,4,x,,,
160,628,10:28,4,,,x,
163,603,10:03,4,,,x,
168,565,9:25,4,,,,
171,509,8:29,4,,,,
175,443,7:23,4,,,,
178,410,6:50,4,,,,
181,365,6:05,4,,,,x
184,315,5:15,4,,,x,
185,296,4:56,4,,,,
187,266,4:26,4,,x,,
189,235,3:55,4,x,,,
192,181,3:01,4,,,,
193,145,2:25,4,,,,
194,125,2:05,4,,,,
