eid,gameclock,gameclock_str,quarter,over,under,switch,trap
3,653,10:53,1,,,,x
9,596,9:56,1,,,,
11,555,9:15,1,x,,,
23,424,7:04,1,x,,,
28,384,6:24,1,x,,,
29,378,6:18,1,x,,,
30,358,5:58,1,x,,,
32,330,5:30,1,,,,x
38,270,4:30,1,x,,,
39,257,4:17,1,,,,x
40,221,3:41,1,,,,
44,189,3:09,1,,,,
44,183,3:03,1,,,x,
45,167,2:47,1,,,x,
48,150,2:30,1,x,,,
49,124,2:04,1,,x,,
50,90,1:30,1,,,,x
52,74,1:14,1,x,,,
53,45,0:45,1,,x,,
60,676,11:16,2,x,,,
65,592,9:52,2,,,x,
69,551,9:11,2,,,,x
71,524,8:44,2,x,,,
73,494,8:14,2,,,,
79,420,7:00,2,,,x,
81,391,6:31,2,x,,,
86,355,5:55,2,,,,
91,302,5:02,2,x,,,
95,257,4:17,2,x,,,
103,182,3:02,2,,,,
103,174,2:54,2,,,,x
118,709,11:49,3,,,,x
120,611,10:11,3,,,,
125,577,9:37,3,x,,,
130,518,8:38,3,x,,,
133,493,8:13,3,,,x,
137,451,7:31,3,,x,,
142,402,6:42,3,x,,,
145,402,6:42,3,,,,
147,352,5:52,3,,,x,
155,237,3:57,3,,,x,
156,211,3:31,3,,,x,
158,185,3:05,3,x,,,
161,135,2:15,3,,,,x
165,83,1:23,3,x,,,
168,54,0:54,3,x,,,
172,715,11:55,4,x,,,
174,673,11:13,4,,x,,
175,646,10:46,4,x,,,
177,632,10:32,4,,,x,
178,609,10:09,4,x,,,
180,591,9:51,4,x,,,
182,558,9:18,4,x,,,
184,522,8:42,4,,,,
186,475,7:55,4,,,x,
187,465,7:45,4,,,x,
188,454,7:34,4,x,,,
189,449,7:29,4,x,,,
189,441,7:21,4,,,,x
190,425,7:05,4,,,,
194,382,6:22,4,,,,
195,372,6:12,4,x,,,
196,353,5:53,4,,,x,
197,350,5:50,4,x,,,
198,334,5:34,4,,,,x
199,315,5:15,4,,,,
202,271,4:31,4,,,x,
204,237,3:57,4,,,x,
205,208,3:28,4,,,,
207,177,2:57,4,x,,,
208,172,2:52,4,,,,
212,154,2:34,4,,,,
214,141,2:21,4,x,,,
218,84,1:24,4,x,,,
218,81,1:21,4,,,,
219,66,1:06,4,,,,x
221,51,0:51,4,x,,,
221,46,0:46,4,x,,,
226,29,0:29,4,,,,x
