eid,gameclock,gameclock_str,quarter,over,under,switch,trap
5,661,11:01,1,x,,,
8,617,10:17,1,,,x,
14,558,9:18,1,,,,x
15,538,8:58,1,,,x,
23,487,8:07,1,,x,,
24,469,7:49,1,,,,x
25,447,7:27,1,,x,,
30,407,6:47,1,x,,,
33,370,6:10,1,x,,,
36,334,5:34,1,x,,,
38,311,5:11,1,x,,,
40,293,4:53,1,x,,,
41,287,4:47,1,,,,x
42,198,3:18,1,,,,
48,188,3:08,1,,,x,
56,99,1:39,1,,,,
60,82,1:22,1,,,x,
60,78,1:18,1,,,,x
61,67,1:07,1,,,x,
64,43,0:43,1,,,,x
67,19,0:19,1,,,x,
79,602,10:02,2,,,,x
80,590,9:50,2,,,x,
82,572,9:32,2,,,,
85,545,9:05,2,,x,,
88,514,8:34,2,,,,x
90,502,8:22,2,x,,,
90,497,8:17,2,x,,,
90,487,8:07,2,x,,,
91,475,7:55,2,,x,,
92,466,7:46,2,x,,,
95,432,7:12,2,,,,x
97,389,6:29,2,x,,,
99,369,6:09,2,,,,x
100,357,5:57,2,x,,,
104,310,5:10,2,x,,,
108,249,4:09,2,,,,x
109,234,3:54,2,,,x,
112,205,3:25,2,,,x,
114,176,2:56,2,,,x,
115,160,2:40,2,,x,,
115,158,2:38,2,,,,x
117,128,2:08,2,,,,
119,117,1:57,2,x,,,
120,109,1:49,2,x,,,
120,105,1:45,2,x,,,
121,90,1:30,2,x,,,
123,70,1:10,2,x,,,
124,42,0:42,2,,,,
131,695,11:35,3,x,,,
134,645,10:45,3,,,,x
134,639,10:39,3,x,,,
135,629,10:29,3,x,,,
159,386,6:26,3,x,,,
160,360,6:00,3,x,,,
164,317,5:17,3,x,,,
166,296,4:56,3,x,,,
168,268,4:28,3,x,,,
172,210,3:30,3,x,,,
176,166,2:46,3,,,,
179,152,2:32,3,,,,x
182,128,2:08,3,,,,x
183,108,1:48,3,,,x,
184,86,1:26,3,,,,x
187,64,1:04,3,,,x,
188,57,0:57,3,,,x,
191,36,0:36,3,x,,,
199,682,11:22,4,,,x,
201,660,11:00,4,,,,x
204,650,10:50,4,,x,,
206,615,10:15,4,,,x,
207,601,10:01,4,x,,,
208,587,9:47,4,,,x,
210,571,9:31,4,x,,,
210,567,9:27,4,x,,,
211,550,9:10,4,,x,,
215,506,8:26,4,,,,
216,488,8:08,4,,x,,
217,469,7:49,4,,x,,
217,466,7:46,4,x,,,
221,443,7:23,4,,,x,
223,403,6:43,4,,,,
225,397,6:37,4,x,,,
226,381,6:21,4,,x,,
227,358,5:58,4,x,,,
230,335,5:35,4,,,x,
231,320,5:20,4,,,,
233,312,5:12,4,x,,,
233,309,5:09,4,,,,
236,273,4:33,4,,,,
239,250,4:10,4,x,,,
240,243,4:03,4,,,x,
242,207,3:27,4,,,x,
245,187,3:07,4,,,x,
249,151,2:31,4,x,,,
251,124,2:04,4,,,x,
258,62,1:02,4,,,x,
259,43,0:43,4,,x,,
261,32,0:32,4,,x,,
