eid,gameclock,gameclock_str,quarter,over,under,switch,trap
1,703,11:43,1,x,,,
4,658,10:58,1,x,,,
4,655,10:55,1,x,,,
5,629,10:29,1,,,,
6,623,10:23,1,x,,,
7,603,10:03,1,,,,x
21,429,7:09,1,,,,
21,427,7:07,1,,,,x
25,391,6:31,1,,x,,
25,387,6:27,1,x,,,
28,340,5:40,1,,,,x
31,311,5:11,1,x,,,
33,289,4:49,1,x,,,
34,276,4:36,1,,,x,
35,263,4:23,1,,,,
37,249,4:09,1,,,x,
38,234,3:54,1,x,,,
41,202,3:22,1,,,x,
42,188,3:08,1,x,,,
44,153,2:33,1,x,,,
47,140,2:20,1,,,x,
48,138,2:18,1,,,,
49,106,1:46,1,,,,
51,76,1:16,1,x,,,
51,74,1:14,1,x,,,
51,63,1:03,1,,,x,
54,43,0:43,1,,,,
56,14,0:14,1,x,,,
56,8,0:08,1,,,,
60,706,11:46,2,,x,,
61,668,11:08,2,,,,
68,626,10:26,2,x,,,
73,580,9:40,2,x,,,
74,577,9:37,2,,,,
76,554,9:14,2,x,,,
77,539,8:59,2,,,x,
80,513,8:33,2,x,,,
82,482,8:02,2,,x,,
83,465,7:45,2,,,,
84,457,7:37,2,,,,
84,449,7:29,2,x,,,
85,438,7:18,2,,,,
85,434,7:14,2,x,,,
86,419,6:59,2,x,,,
87,410,6:50,2,,,x,
87,400,6:40,2,,,,
89,389,6:29,2,,,x,
89,386,6:26,2,x,,,
92,332,5:32,2,,x,,
93,311,5:11,2,,,,
93,309,5:09,2,,,,x
93,307,5:07,2,,,,
95,293,4:53,2,,,x,
96,270,4:30,2,,,,x
99,230,3:50,2,,,x,
99,213,3:33,2,x,,,
108,159,2:39,2,,,,
113,102,1:42,2,x,,,
118,52,0:52,2,,,x,
121,21,0:21,2,,,,
126,691,11:31,3,,,x,
127,679,11:19,3,x,,,
129,660,11:00,3,,,,
132,622,10:22,3,,,,x
135,588,9:48,3,,,,x
138,546,9:06,3,,x,,
146,450,7:30,3,x,,,
146,446,7:26,3,,,x,
150,392,6:32,3,x,,,
153,362,6:02,3,x,,,
154,343,5:43,3,,,x,
156,323,5:23,3,x,,,
157,312,5:12,3,,,,
157,304,5:04,3,x,,,
159,273,4:33,3,,,x,
163,240,4:00,3,x,,,
174,159,2:39,3,x,,,
175,149,2:29,3,,,x,
177,131,2:11,3,x,,,
177,122,2:02,3,,,x,
186,26,0:26,3,,,,
186,23,0:23,3,x,,,
191,689,11:29,4,,,x,
194,661,11:01,4,,,,
196,646,10:46,4,,,,x
196,631,10:31,4,,,,
198,613,10:13,4,x,,,
201,573,9:33,4,,,,x
202,544,9:04,4,,x,,
202,543,9:03,4,x,,,
205,509,8:29,4,,,x,
206,481,8:01,4,,,,x
208,468,7:48,4,,,x,
209,446,7:26,4,,x,,
210,434,7:14,4,,,,
211,418,6:58,4,x,,,
211,414,6:54,4,,,x,
213,391,6:31,4,,,,
213,382,6:22,4,,x,,
214,357,5:57,4,,,,
216,347,5:47,4,,,,
216,344,5:44,4,,,x,
217,329,5:29,4,,,,
219,292,4:52,4,x,,,
219,280,4:40,4,,,,x
220,276,4:36,4,,,,
222,262,4:22,4,,,,
230,199,3:19,4,,,,
234,187,3:07,4,,,x,
235,174,2:54,4,x,,,
235,168,2:48,4,,,x,
239,106,1:46,4,,,,
241,91,1:31,4,,,,
242,79,1:19,4,,,,
242,76,1:16,4,x,,,
244,52,0:52,4,,x,,
