eid,gameclock,gameclock_str,quarter,over,under,switch,trap
1,709,11:49,1,x,,,
4,668,11:08,1,,,x,
5,645,10:45,1,,,x,
6,625,10:25,1,,,x,
8,605,10:05,1,,x,,
12,537,8:57,1,,x,,
17,481,8:01,1,,,,x
18,470,7:50,1,x,,,
26,396,6:36,1,,,,x
28,352,5:52,1,,,x,
34,286,4:46,1,,,x,
38,239,3:59,1,x,,,
39,222,3:42,1,,,x,
39,219,3:39,1,x,,,
43,157,2:37,1,x,,,
43,148,2:28,1,,,,x
43,137,2:17,1,x,,,
43,73,1:13,1,,x,,
44,117,1:57,1,,,,
44,113,1:53,1,,,,
46,81,1:21,1,,,x,
46,78,1:18,1,,,,
46,72,1:12,1,x,,,
47,58,0:58,1,,,,x
48,47,0:47,1,,,x,
48,42,0:42,1,x,,,
51,23,0:23,1,,,,x
57,699,11:39,2,,x,,
61,635,10:33,2,,,x,
64,600,10:00,2,,,,x
65,584,9:44,2,,,,x
68,552,9:12,2,,,x,
71,509,8:29,2,,,,
72,498,8:18,2,x,,,
74,472,7:52,2,x,,,
78,424,7:04,2,,,x,
82,399,6:39,2,x,,,
86,379,6:19,2,,,x,
87,362,6:02,2,,,,
88,357,5:57,2,,,,x
88,353,5:53,2,,,x,
97,271,4:31,2,,,,x
98,260,4:20,2,,,x,
101,221,3:41,2,,,x,
104,195,3:15,2,,,x,
109,154,2:34,2,x,,,
112,118,1:58,2,x,,,
113,108,1:48,2,,x,,
115,80,1:20,2,,,,x
117,51,0:51,2,,x,,
118,41,0:41,2,,,x,
119,26,0:26,2,,,,x
123,695,11:35,3,,x,,
126,638,10:38,3,,,x,
127,612,10:12,3,x,,,
132,562,9:22,3,x,,,
132,554,9:14,3,,,,
135,525,8:45,3,,,x,
147,372,6:12,3,,,x,
148,346,5:46,3,,,x,
152,284,4:44,3,x,,,
153,265,4:25,3,,,,x
155,245,4:05,3,,,,x
158,180,3:00,3,,,x,
163,121,2:01,3,,,,x
163,117,1:57,3,,,x,
168,67,1:07,3,,,x,
178,685,11:25,4,,x,,
178,681,11:21,4,,,x,
180,644,10:44,4,x,,,
182,634,10:34,4,x,,,
182,630,10:30,4,,x,,
185,599,9:59,4,x,,,
186,588,9:48,4,,,,x
187,579,9:39,4,,,,x
190,533,8:53,4,,,,
193,504,8:24,4,,,x,
195,476,7:56,4,,,,x
197,435,7:15,4,x,,,
